date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:31	33169/33169	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/components.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/components.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:31	14402/14402	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/coming-soon.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/coming-soon.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:31	17766/17766	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/contact.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/contact.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:31	24390/24390	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/search.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/search.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:31	13513/13513	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/login.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/login.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:32	12900/12900	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:06%20GMT	http://html.nkdev.info/youplay/dark/404.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/404.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:32	16636/16636	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:34:06%20GMT	http://html.nkdev.info/youplay/dark/blank.html	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/blank.html	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:48	97128/97128	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/game-kingdoms-of-amalur-reckoning-500x375.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/game-kingdoms-of-amalur-reckoning-500x375.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:49	120512/120512	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/game-bloodborne-500x375.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/game-bloodborne-500x375.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
17:23:58	158875/158875	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/game-dark-souls-ii-500x375.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/game-dark-souls-ii-500x375.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:01	83216/83216	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/game-lords-of-the-fallen-500x375.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/game-lords-of-the-fallen-500x375.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:03	88154/88154	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/game-middle-eart-shadow-of-mordor-500x375.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/game-middle-eart-shadow-of-mordor-500x375.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:12	81974/81974	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/game-soul-sacrifice-500x375.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/game-soul-sacrifice-500x375.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
17:24:12	64708/64708	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Mar%202016%2007:34:10%20GMT	http://html.nkdev.info/youplay/dark/assets/images/game-the-witcher-500x375.jpg	/home/euter/websites/WebGames/html.nkdev.info/youplay/dark/assets/images/game-the-witcher-500x375.jpg	(from http://html.nkdev.info/youplay/dark/index.html)
